Product Name,Price,Ratings,model_name,product_color,product_type,processor_name,processor_brand,ssd_capacity,ram_size,ram_type,graphic_processor,operating_system,screen_resolution,screen_size,Product_Url
"HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","₹43,490",4.2,15s-fq5007TU,Natural Silver,Thin and Light Laptop,Core i3,Intel,512 GB,8 GB,DDR4,Intel Integrated UHD,Windows 11 Home,1920 x 1080 Pixels,39.62 cm (15.6 Inch),https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5007tu-thin-light-laptop/p/itm559f5c880dc4a?pid=COMGKW2NSU4SPZSG&lid=LSTCOMGKW2NSU4SPZSGEOIPKZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_1f5I1kQTi90UDqXQ45pmELoH5iiFqkhclc9Y73lyCymikHbRn02FjtFlpiI6oQrlmvYMzDI5G6qwzwkgBnE3ig%3D%3D&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"HP Envy x360 Creator Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) x360-bf0121TU Thin and Light Laptop  (13.4 Inch, Natural Silver, 1.32 Kg, With MS Office)","₹83,990",4.7,x360-bf0121TU,Natural Silver,Thin and Light Laptop,Core i5,Intel,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,Windows 11 Home,1920 x 1200 Pixel,34.04 cm (13.4 Inch),https://www.flipkart.com/hp-envy-x360-creator-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-x360-bf0121tu-thin-light-laptop/p/itm4700fb37b6df3?pid=COMGH47NWT4HZFYP&lid=LSTCOMGH47NWT4HZFYPJT5O1U&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_1f5I1kQTi90UDqXQ45pmELoH5iiFqkhclc9Y73lyCymSQCzgh6q2hZyYbpmX98%2BX%2B1qoeAqhjXdiBk6qgmk8Yw%3D%3D&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop  (14 inch, Real Blue, 1.38 kg)","₹32,990",4.4,RMNB1001,Real Blue,Thin and Light Laptop,Core i3,Intel,256 GB,8 GB,DDR4,Intel Integrated UHD,Windows 10 Home,2160 x 1440 Pixel,35.56 cm (14 inch),https://www.flipkart.com/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm7109ffde0b2cc?pid=COMG5YDPYEB7ZAKK&lid=LSTCOMG5YDPYEB7ZAKKVEOVUY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9a017286-0c01-4e28-9cc7-a33cbecd8514.COMG5YDPYEB7ZAKK.SEARCH&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)","₹37,490",4.3,14s - dy2508TU,Natural Silver,Thin and Light Laptop,Core i3,Intel,512 GB,8 GB,DDR4,Intel Integrated UHD,Windows 11 Home,1920 x 1080 Pixel,35.56 cm (14 inch),https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9a017286-0c01-4e28-9cc7-a33cbecd8514.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop  (14 inch, Real Gray, 1.38 kg)","₹32,990",4.4,RMNB1001,Real Gray,Thin and Light Laptop,Core i3,Intel,256 GB,8 GB,DDR4,Intel Integrated UHD,Windows 10 Home,2160 x 1440 Pixel,35.56 cm (14 inch),https://www.flipkart.com/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm63278eae4e867?pid=COMG5YDPE6KHFFK6&lid=LSTCOMG5YDPE6KHFFK6TDC2UE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9a017286-0c01-4e28-9cc7-a33cbecd8514.COMG5YDPE6KHFFK6.SEARCH&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A  (13.3 inch, Space Grey, 1.29 kg)","₹82,900",4.7,No value available,Space Grey,Thin and Light Laptop,M1,Apple,256 GB,8 GB,DDR4,NA,Mac OS Big Sur,2560 x 1600 Pixel,33.78 cm (13.3 inch),https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=9a017286-0c01-4e28-9cc7-a33cbecd8514.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg)","₹21,990",4.1,X415MA-BV011W,Transparent Silver,Thin and Light Laptop,Celeron Dual Core,Intel,256 GB,4 GB,DDR4,Intel Integrated UHD,Windows 11 Home,1366 x 768 Pixel,35.56 cm (14 inch),https://www.flipkart.com/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9a017286-0c01-4e28-9cc7-a33cbecd8514.COMGBH774UHWUFQF.SEARCH&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Laptop  (11.6 Inch, Blue, 1.065 Kg, With MS Office)","₹14,990",4.2,Primebook 4G,Blue,Thin and Light Laptop,MediaTek MT8788,MediaTek,No value available,4 GB,LPDDR4,MediaTek Integrated ARM Mali G72,Prime OS,1366 x 768 Pixels,29.46 cm (11.6 Inch),https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmc0e03bf12ddbc?pid=COMGH2NKH3PBYNPM&lid=LSTCOMGH2NKH3PBYNPMXKYFW7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_1f5I1kQTi90UDqXQ45pmELoH5iiFqkhclc9Y73lyCykq%2Bo9mBqyex6%2FUy5ibKgsU7AH%2Bu%2F%2FL2PmpO0s42gPq7A%3D%3D&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 82K101B6IN|82K101FTIN Gaming Laptop  (39.62 cm, Shadow Black, 2.25 kg)","₹49,990",4.3,15IHU6,Shadow Black,Gaming Laptop,Core i5,Intel,512 GB,8 GB,DDR4,NVIDIA GeForce GTX 1650,Windows 11 Home,1920 x 1080 Pixel,100.63 cm (39.62 cm),https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=9a017286-0c01-4e28-9cc7-a33cbecd8514.COMGFM5BFZHDDB4R.SEARCH&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
"HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹51,990",4.3,15s- fr4000TU,Natural Silver,Thin and Light Laptop,Core i5,Intel,512 GB,8 GB,DDR4,Intel Integrated Iris Xe,Windows 11 Home,1920 x 1080 Pixel,39.62 cm (15.6 Inch),https://www.flipkart.com/hp-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fr4000tu-thin-light-laptop/p/itm7fbaaf16c90f1?pid=COMGHN4MYVNWWQHG&lid=LSTCOMGHN4MYVNWWQHGPKYJCD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=9a017286-0c01-4e28-9cc7-a33cbecd8514.COMGHN4MYVNWWQHG.SEARCH&ppt=None&ppn=None&ssid=ccrb88i6i80000001683142610537&qH=c06ea84a1e3dc3c6
