Product Name,Price,Ratings,Author,Publishing Date,Publisher,Edition,Number of Pages,Language,Product_Url
"Secondary School Mathematics (Maths) For Class 10  (Paperback, R S AGGARWAL)",₹422,4.3,R S AGGARWAL,No value available,BHARATI BHAWAN PVT LTD,1991,964,English,https://www.flipkart.com/secondary-school-mathematics-maths-class-10/p/itm2ed9fb8997afd?pid=RBKG4RHKFNY29HWH&lid=LSTRBKG4RHKFNY29HWHOITVO0&marketplace=FLIPKART&q=books&store=bks&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FNfeWkPS3r6wkxCIpjONG02CjNjr5My2whWJGVafF09qw%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"60 Maths Mock Test For Cgl And Chsl Mains  (Paperback, Aditya Ranjan)",₹327,4.7,Aditya Ranjan,No value available,RG Publication,1,560,English,https://www.flipkart.com/60-maths-mock-test-cgl-chsl-mains/p/itmd5f63e63d656a?pid=RBKGMC7UHPXAWGZH&lid=LSTRBKGMC7UHPXAWGZHXR3O8Y&marketplace=FLIPKART&q=books&store=bks&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FO%2BXNtafuUWszpf6hBAnfLt2Sl7YXpuEXa3svy%2B0THM8g%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Principles Of Indian Geography (English | 1st Edition) For UPSC CSE Prelims & Mains By Study IQ  (Paperback, StudyIQ Publications)",₹357,4.5,StudyIQ Publications,No value available,StudyIQ Publications,1,342,English,https://www.flipkart.com/principles-indian-geography-english-1st-edition-upsc-cse-prelims-mains-study-iq/p/itmfa44599e125d7?pid=RBKGEMVVYWZ7RYH8&lid=LSTRBKGEMVVYWZ7RYH8VRYVVL&marketplace=FLIPKART&q=books&store=bks&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGEMVVYWZ7RYH8.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Pinnacle 60 Days English Vocabulary  (Paperback, Pinnacle Publications)",₹290,4.5,Pinnacle Publications,No value available,Pinnacle Publications,1st,415,English,https://www.flipkart.com/pinnacle-60-days-english-vocabulary/p/itm05507bbdb0687?pid=RBKGDWVMZ394ZQE5&lid=LSTRBKGDWVMZ394ZQE5ISVCGS&marketplace=FLIPKART&q=books&store=bks&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGDWVMZ394ZQE5.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"A Handbook Of A.N.M. (HINDI)  (Paper beck, Hindi, Meenakshi Messi)",₹603,4.3,Meenakshi Messi,No value available,Vardhan Publisher & Distributors,2019,865,Hindi,https://www.flipkart.com/handbook-a-n-m-hindi/p/itmd30d2c527b540?pid=RBKFGTD7VSMZQHVJ&lid=LSTRBKFGTD7VSMZQHVJJXXKZ6&marketplace=FLIPKART&q=books&store=bks&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKFGTD7VSMZQHVJ.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"44 Years' Chapter Wise And Topic Wise SOLVED PAPERS 2022-1979 IIT JEE (Jee Main & Advanced) Mathematics, Physics And Chemistry (3-Books Set)  (Paperback, ARIHANT EXPEART TEAM)","₹1,079",4.4,ARIHANT EXPEART TEAM,No value available,ARIHANT PRAKASHAN,2023,1500,English,https://www.flipkart.com/44-years-chapter-wise-topic-solved-papers-2022-1979-iit-jee-jee-main-advanced-mathematics-physics-chemistry-3-books-set/p/itmc53c7cbd56c2c?pid=RBKGK5KZT4RYNVEV&lid=LSTRBKGK5KZT4RYNVEV8HVLRU&marketplace=FLIPKART&q=books&store=bks&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGK5KZT4RYNVEV.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"SSC CGL Tier 2 Computer Knowledge Book English Medium  (Paperback, Pinnacle Publications)",₹360,4.5,Pinnacle Publications,No value available,Pinnacle Publications,1st,259,English,https://www.flipkart.com/ssc-cgl-tier-2-computer-knowledge-book-english-medium/p/itm2577f6c6be965?pid=RBKGKH6RPHSSEZD7&lid=LSTRBKGKH6RPHSSEZD7F1OQFA&marketplace=FLIPKART&q=books&store=bks&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGKH6RPHSSEZD7.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"The Power Of Your Subconscious Mind  (Paperback, Joseph Murphy)",₹139,4.5,Joseph Murphy,No value available,Enzine Press,1,312,English,https://www.flipkart.com/power-your-subconscious-mind/p/itm8bac9e6cc6c9f?pid=RBKGC727G8FHFFUW&lid=LSTRBKGC727G8FHFFUWW4OX43&marketplace=FLIPKART&q=books&store=bks&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FOPh%2B9Gu3Y93%2FShEG1UTZOyMvV%2F9nbtbyX5%2BWJ8iEAUKQ%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"SSC CGL 2023: 40 TCS Sets Solved Papers Hindi Medium  (Paperback, Hindi, Pinnacle Publications)",₹350,4.4,Pinnacle Publications,No value available,Pinnacle Publications,1st,381,Hindi,https://www.flipkart.com/ssc-cgl-2023-40-tcs-sets-solved-papers-hindi-medium/p/itm5402e1f1bb94c?pid=RBKGM4MFPGWWSGMG&lid=LSTRBKGM4MFPGWWSGMGD8XQPD&marketplace=FLIPKART&q=books&store=bks&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGM4MFPGWWSGMG.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"B D CHAURASIA'S HUMAN ANATOMY 9th Ed, 4 Volume Set (PB - 2023)  (Paperback, BD Chaurasia)","₹1,999",4.6,BD Chaurasia,No value available,CBS Publishers,2019,2080,English,https://www.flipkart.com/b-d-chaurasia-s-human-anatomy-9th-ed-4-volume-set-pb-2023/p/itmc72329249603b?pid=RBKFGRX8RGN4GBJ9&lid=LSTRBKFGRX8RGN4GBJ9PQSL4Y&marketplace=FLIPKART&q=books&store=bks&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKFGRX8RGN4GBJ9.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
