Product Name,Price,Ratings,Model Name,Supported Apps,Operating Systems,Display Size,Screen Type,Color,Storage Memory,Ram Storage,Number of Cores,Processor,Resolutions,System Language,Power Requirement,Refresh Rates,Sound Output,Product_Url
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame  (43FD2A00),"₹22,719",4.3,43FD2A00, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),108 cm (43 inch),LED,Black,8 GB,1G,4,MT9216,"Full HD, 1920 x 1080",No value available,AC 100 - 240 V,60 Hz,20 W,https://www.flipkart.com/oneplus-y1s-108-cm-43-inch-full-hd-led-smart-android-tv-11-bezel-less-frame/p/itm178846d2e1567?pid=TVSGAXEVSNT3HBQA&lid=LSTTVSGAXEVSNT3HBQA27QSBA&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSGAXEVSNT3HBQA.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount  (32Y1),"₹8,329",4.2,32Y1, Prime Video|Youtube,Linux,80 cm (32 inch),LED,Black,4 GB,NA,4,Quad Core Processor,"HD Ready, 1366 x 768",No value available,AC 100 - 240 V,60 Hz,20 W,https://www.flipkart.com/infinix-y1-80-cm-32-inch-hd-ready-led-smart-linux-tv-wall-mount/p/itme5476ca89d1b0?pid=TVSGFGF34GMTB9KF&lid=LSTTVSGFGF34GMTB9KFNOEUDG&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSGFGF34GMTB9KF.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM565BPTA),"₹14,190",4.4,32LM565BPTA, Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,80 cm (32 inch),LED,Ceramic Black,4 GB,1 GB,4,No value available,"HD Ready, 1366 x 768",No value available,"AC 100 - 240 V, 50/60 Hz",50 Hz,10 W,https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-webos-tv/p/itm6207e6d122567?pid=TVSFTW4CSRW8PGDQ&lid=LSTTVSFTW4CSRW8PGDQSZQIO6&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&spotlightTagId=FkPickId_ckf%2Fczl&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSFTW4CSRW8PGDQ.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
Compaq 109 cm (43 inch) Full HD LED Smart Coolita TV  (CQV43FDS),"₹14,999",3.8,CQV43FDS, Prime Video|Youtube,Coolita,109 cm (43 inch),LED,Black,No value available,No value available,4,No value available,"Full HD, 1920 x 1080",English,"AC 110 - 200 V, 50/60 Hz",60 Hz,14W,https://www.flipkart.com/compaq-109-cm-43-inch-full-hd-led-smart-coolita-tv/p/itmd2e4df55ee4ea?pid=TVSGK2H8U3UG3SVH&lid=LSTTVSGK2H8U3UG3SVHZN7GTA&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_%2BDVQ6Fyg0BLoxxhWbjl5J%2FMfbDqrsWJ9AANbCANwNh4J9jNZcU34%2B%2Bg0onchkX%2Bry7aqHd%2F9QyaFUoHpEBwzog%3D%3D&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model  (UA32T4380AKXXL),"₹13,990",4.4,UA32T4380AKXXL, Netflix|Prime Video|Disney+Hotstar|Youtube,Tizen,80 cm (32 Inch),LED,Black,No value available,1.5,No value available,No value available,"HD Ready, 1366 x 768",No value available,"AC 220 - 240 V, 50/60 Hz",50 Hz,20 W,https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tizen-tv-2022-model/p/itm3c07ddc2dd25d?pid=TVSGHY2UZA9YHWQN&lid=LSTTVSGHY2UZA9YHWQNCPAW6M&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSGHY2UZA9YHWQN.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",4.4,L32M7-5AIN, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),80 cm (32 inch),LED,Black,8 GB,1 GB,No value available,Cortex A35 64-bit Quad Core,"HD Ready, 1366 x 768",English,"AC 100 - 240 V, 50/60 Hz",60 Hz,20 W,https://www.flipkart.com/mi-5a-80-cm-32-inch-hd-ready-led-smart-android-tv-dolby-audio-2022-model/p/itm98501ffa297ba?pid=TVSGD5CS2SDUUZGN&lid=LSTTVSGD5CS2SDUUZGNPVJDFV&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSGD5CS2SDUUZGN.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
realme 80 cm (32 inch) HD Ready LED Smart Android TV  (TV 32),"₹11,999",4.3,TV 32, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),80 cm (32 inch),LED,Black,8 GB,1 GB,4,MediaTek Quad core 6883,"HD Ready, 1366 x 768","English, Hindi",90 - 240 V,60 Hz,24 W,https://www.flipkart.com/realme-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm56d1cf16da75b?pid=TVSFRTJQTZVKTF6Y&lid=LSTTVSFRTJQTZVKTF6YTYQNP6&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSFRTJQTZVKTF6Y.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV  (CQV50AX1UD),"₹24,999",4.3,CQV50AX1UD, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),127 cm (50 inch),LED,Black,No value available,No value available,No value available,No value available,"Ultra HD (4K), 3840 x 2160",English,"AC 110 - 240 V, 50/60 Hz",60 Hz,24 W,https://www.flipkart.com/compaq-127-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itmd537e2eca299f?pid=TVSGHQYFJZYWEHTQ&lid=LSTTVSGHQYFJZYWEHTQRZAJKA&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_%2BDVQ6Fyg0BLoxxhWbjl5J%2FMfbDqrsWJ9AANbCANwNh4oedFJyXbtH6PdrH0Ik6YnAJQLqXf8sw%2BXhoH9hIdqfA%3D%3D&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design  (32Alpha007BL),"₹7,949",4.4,32Alpha007BL, Prime Video|Youtube,Linux,80 cm (32 inch),LED,Black,4 GB,512 MB,No value available,Quad Core Processor-A35 x 4,"HD Ready, 1366 x 768","English, Hindi","AC 100 - 240 V, 50/60 Hz",60 Hz,30 W,https://www.flipkart.com/thomson-alpha-80-cm-32-inch-hd-ready-led-smart-linux-tv-30-w-sound-output-bezel-less-design/p/itm0e90bcdadb9c9?pid=TVSGEMQV7R4CMTGA&lid=LSTTVSGEMQV7R4CMTGAODWDFI&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSGEMQV7R4CMTGA.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio  (40FA1A00/40FA1A00_V1),"₹19,879",4.3,40FA1A00/40FA1A00_V1, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),100 cm (40 inch),LED,Black,8 GB,1G,4,Cortex-A53 x 4,"Full HD, 1920 x 1080","English, Hindi","AC 100 - 240 V, 50/60 Hz",60 Hz,20 W,https://www.flipkart.com/oneplus-y1-100-cm-40-inch-full-hd-led-smart-android-tv-dolby-audio/p/itm56416c21fbb28?pid=TVSG25MMGB8NKFD8&lid=LSTTVSG25MMGB8NKFD8MWAMJF&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSG25MMGB8NKFD8.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame  (32HD2A00),"₹14,959",4.3,32HD2A00, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),80 cm (32 inch),LED,Black,8 GB,1G,4,MT9216,"HD Ready, 1366 x 768",No value available,AC 100 - 240 V,60 Hz,20 W,https://www.flipkart.com/oneplus-y1s-80-cm-32-inch-hd-ready-led-smart-android-tv-11-bezel-less-frame/p/itm0a39edd7df236?pid=TVSGAXEVXNG9YBUM&lid=LSTTVSGAXEVXNG9YBUMLGWYAS&marketplace=FLIPKART&q=smart+tv&store=ckf%2Fczl&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=ecaf5bfa-d639-499c-ae0a-83a34e9e212e.TVSGAXEVXNG9YBUM.SEARCH&ppt=None&ppn=None&ssid=hb6ppbf2vk0000001682785311799&qH=080099968ecb406f
