Product Name,Price,Ratings,camera_features,battery_details,Processor,product_color,model_name,display_size,display_type,resolution,operating_system,processor_type,ram_size,internal_storage
"POCO C50 (Royal Blue, 32 GB)  (2 GB RAM)","₹5,749",4.3,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",Royal Blue,C50,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",2 GB,32 GB
"vivo T2x 5G (Glimmer Black, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Glimmer Black,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Glimmer Black,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (6 GB RAM)","₹13,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,6 GB,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)","₹15,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,8 GB,128 GB
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹7,499",4.3,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,Opal Green,Galaxy F04,16.51 cm (6.5 inch),HD LCD Display,1600 x 720 Pixels,Android 12,Mediatek Helio P35,4 GB,64 GB
"vivo T2x 5G (Marine Blue, 128 GB)  (4 GB RAM)","₹12,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Marine Blue,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,4 GB,128 GB
"vivo T2x 5G (Aurora Gold, 128 GB)  (4 GB RAM)","₹12,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,Aurora Gold,T2x 5G,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 13,Dimensity 6020,4 GB,128 GB
