Product Name,Price,Ratings,camera_details,battery_details,Processor,product_color,model_name,display_size,display_type,resolution,operating_system,processor_type,ram_size,internal_storage
"vivo T1X (Space Blue, 64 GB)  (4 GB RAM)","₹11,999",4.5,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,Space Blue,T1X,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,4 GB,64 GB
"vivo T1X (Gravity Black, 64 GB)  (4 GB RAM)","₹11,999",4.5,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,Gravity Black,T1X,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,4 GB,64 GB
"vivo T1X (Gravity Black, 128 GB)  (4 GB RAM)","₹12,999",4.5,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,Gravity Black,T1X,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,4 GB,128 GB
"MOTOROLA g31 (Baby Blue, 128 GB)  (6 GB RAM)","₹10,999",4.2,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh LiPo Battery,Mediatek Helio G85 Processor,Baby Blue,g31,16.26 cm (6.4 inch),FHD+ AMOLED Display,2400 x 1080 Pixels,Android 11,Mediatek Helio G85,6 GB,128 GB
"vivo T1X (Space Blue, 128 GB)  (6 GB RAM)","₹14,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,Space Blue,T1X,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,6 GB,128 GB
"vivo T1X (Space Blue, 128 GB)  (4 GB RAM)","₹12,999",4.5,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,Space Blue,T1X,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,4 GB,128 GB
"MOTOROLA g52 (Charcoal Grey, 128 GB)  (6 GB RAM)","₹12,999",4.2,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,Charcoal Grey,g52,16.76 cm (6.6 inch),Full HD+ OLED Display,2460 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,6 GB,128 GB
"vivo T1X (Gravity Black, 128 GB)  (6 GB RAM)","₹14,999",4.4,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,Gravity Black,T1X,16.71 cm (6.58 inch),Full HD+ LCD Display,2408 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,6 GB,128 GB
"MOTOROLA g52 (Charcoal Grey, 64 GB)  (4 GB RAM)","₹10,999",4.2,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,Charcoal Grey,g52,16.76 cm (6.6 inch),Full HD+ OLED Display,2460 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,4 GB,64 GB
"POCO C55 (Forest Green, 128 GB)  (6 GB RAM)","₹10,999",4.5,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,Forest Green,C55,17.04 cm (6.71 inch),No value available,1650 x 720 Pixels,Android 12,Mediatek Helio G85,6 GB,128 GB
