,Product Name,Price,Ratings,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Sensor,Compatible Device,Notification,Charge Time,Battery Life,Charger Type,Display Resolution,Display Size,Display Type,Call Features
0,"Boult Ridge Bluetooth Calling, 1.8"" 500Nits High Brightness HD Display Smartwatch  (Green Strap, Free Size)","₹1,799",4.1,"Ridge Bluetooth Calling, 1.8"" 500Nits High Brightness HD Display",Multicolour,Rectangle,Green,Silicone,Free Size,Yes,Yes,1 mm,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"Real Heart rate, Real SPO2",Smartphone,"Social Media, Messages, Incoming Calls, Emails",120 min,Upto 7 days,Magnetic Charging Cable,280 x 240 Pixel,1.8 Inch,TFT,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic"
1,"Fitshot Saturn 1.32-inch round CosmicDisplay 360*360 High Resolution with BT Calling Smartwatch  (Blue Strap, Regular)","₹1,799",4,Saturn 1.32-inch round CosmicDisplay 360*360 High Resolution with BT Calling,No value available,Circle,Blue,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"SpO2, 24x7 Heart Rate Monitoring, Blood Pressure Rate, Breathing, Sleep, Sedentary Reminder, Female Health tracker",No value available,No value available,No value available,upto 7 Days,No value available,360*360 pixel,33.528 mm,No value available,No value available
2,"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch  (Black Strap, Regular)","₹1,299",4.2,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Black,Square,Black,Silicone,Regular,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,3 Axis,"iPhone, Android Smartphones",Smart Notification,No value available,15 Days,Magnetic Charger,240 x 280 pixel,43 mm,TFT,No value available
3,"beatXP Vega X 1.43"" AMOLED 466*466px Display One-Tap BT 5.2 Calling AI Voice Assistant Smartwatch  (Black Strap, Free Size)","₹2,499",4.1,"Vega X 1.43"" AMOLED 466*466px Display One-Tap BT 5.2 Calling AI Voice Assistant",Electric Black,Circle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,"Heart Rate, SpO2, Blood Pressure, Sleep Monitoring, Stress Tracking",No value available,App and Text Notifications,150 min,Up To 7 Days,Wireless Charger,466*466 pixel,36.32 mm,Super AMOLED,No value available
4,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch  (Glossy Black Strap, Regular)","₹1,899",4.2,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Gold,Rectangle,Glossy Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",No value available,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial"
5,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch  (Black Strap, Regular)","₹1,299",4.2,"ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces",Black,Square,Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Hear Rate,No value available,Smart Notification,No value available,10 Days,Magnetic Charger,240 x 280 pixel,43 mm,No value available,No value available
6,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch  (Black Strap, Regular)","₹1,899",4.2,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Black,Rectangle,Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",2 hours,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial"
7,"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch  (Black Strap, Regular)","₹1,999",4.4,"Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish",Black,Circle,Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, Sp02, Sleep Monitor, Stress",No value available,Smart Notification,No value available,7 Days,Magnetic Charger,240 x 240 pixel,35.052 mm,No value available,No value available
8,"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Black Strap, Free Size)","₹1,799",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,No value available,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available
9,"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Blue Strap, Free Size)","₹1,799",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,No value available,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available
