Product_Url,Product Name,Price,Ratings,camera_details,battery_details,Processor,product_color,model_name,display_size,display_type,resolution,operating_system,processor_type,ram_size,internal_storage
https://www.flipkart.com/samsung-galaxy-f04-opal-green-64-gb/p/itmd0c05f8b03876?pid=MOBGKY2V7QZ2QVFS&lid=LSTMOBGKY2V7QZ2QVFSGOGYVU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGKY2V7QZ2QVFS.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹7,499",4.3,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,O,G,1,H,1,A,M,4,6
https://www.flipkart.com/samsung-galaxy-f04-jade-purple-64-gb/p/itm0934dc56a1df7?pid=MOBGKY2VTP3XETBR&lid=LSTMOBGKY2VTP3XETBRJKXEIM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGKY2VTP3XETBR.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)","₹7,499",4.3,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,J,G,1,H,1,A,M,4,6
https://www.flipkart.com/poco-c55-cool-blue-64-gb/p/itm166c52f5d5dc0?pid=MOBGMXSW55C7ZJE7&lid=LSTMOBGMXSW55C7ZJE7OFBLA7&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGMXSW55C7ZJE7.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"POCO C55 (Cool Blue, 64 GB)  (4 GB RAM)","₹8,499",4.2,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,C,C,1,N,1,A,M,4,6
https://www.flipkart.com/poco-c50-country-green-32-gb/p/itmceaa9370920fd?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGK8WZYEJ3G5AA.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"POCO C50 (Country Green, 32 GB)  (2 GB RAM)","₹5,749",4.3,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",C,C,1,H,1,A,M,2,3
https://www.flipkart.com/motorola-g52-metallic-white-128-gb/p/itm469efad765b98?pid=MOBGAKFYDDSNZGR8&lid=LSTMOBGAKFYDDSNZGR8W6QBUV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGAKFYDDSNZGR8.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"MOTOROLA g52 (Metallic White, 128 GB)  (6 GB RAM)","₹12,999",4.2,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,M,g,1,F,2,A,Q,6,1
https://www.flipkart.com/poco-m4-pro-yellow-64-gb/p/itm1dda9769e7dd9?pid=MOBGBTHFHHZ9XVKM&lid=LSTMOBGBTHFHHZ9XVKMDMKRCC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGBTHFHHZ9XVKM.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"POCO M4 Pro (Yellow, 64 GB)  (6 GB RAM)","₹11,999",4.3,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,Y,M,1,F,2,A,M,6,6
https://www.flipkart.com/realme-c33-2023-night-sea-64-gb/p/itmdfad610ca6eff?pid=MOBGMWBY7J7NKPQE&lid=LSTMOBGMWBY7J7NKPQE3AVTPM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGMWBY7J7NKPQE.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"realme C33 2023 (Night Sea, 64 GB)  (4 GB RAM)","₹9,999",4.5,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,N,C,1,H,1,A,U,4,6
https://www.flipkart.com/realme-c33-2023-aqua-blue-64-gb/p/itmdfad610ca6eff?pid=MOBGMWBYUWY2EMNU&lid=LSTMOBGMWBYUWY2EMNUCEFPBD&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGMWBYUWY2EMNU.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"realme C33 2023 (Aqua Blue, 64 GB)  (4 GB RAM)","₹9,999",4.5,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,A,C,1,H,1,A,U,4,6
https://www.flipkart.com/realme-c33-2023-sandy-gold-64-gb/p/itmdfad610ca6eff?pid=MOBGMWBYFKUYZFZA&lid=LSTMOBGMWBYFKUYZFZAG8DUMK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGMWBYFKUYZFZA.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"realme C33 2023 (Sandy Gold, 64 GB)  (4 GB RAM)","₹9,999",4.5,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,S,C,1,H,1,A,U,4,6
https://www.flipkart.com/poco-m4-5g-power-black-64-gb/p/itmdca739218a8a0?pid=MOBGDRGPZTSHNQ5H&lid=LSTMOBGDRGPZTSHNQ5HK2U5VI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGDRGPZTSHNQ5H.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"POCO M4 5G (Power Black, 64 GB)  (4 GB RAM)","₹11,999",4.2,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,P,M,1,F,2,A,M,4,6
https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itm9c774a53205d1?pid=MOBGK8WZPS5BQRFA&lid=LSTMOBGK8WZPS5BQRFAEQXUQ9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=c953f1e4-c139-4bc1-8bbb-0c09cf005bb9.MOBGK8WZPS5BQRFA.SEARCH&ppt=None&ppn=None&ssid=6kbgsehy4g0000001682266318215&qH=1036ba3c4ed2c021,"POCO C50 (Royal Blue, 32 GB)  (3 GB RAM)","₹6,549",4.1,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",R,C,1,H,1,A,M,3,3
